seqnames,start,end,strand,name,idx,Log2FC,Mean,FDR,Pval,MeanDiff,AUC,MeanBGD
chr1,3652761,3630767,2,WRAP73,90,-0.928201823893547,0.134149112851156,0.019778414080846,0.00145918787800461,-0.129043800760909,0.421668205601724,0.263192913612064
chr1,3940565,3955262,1,LINC01346,100,-0.98303365475429,0.129666824152398,0.0152019441720976,0.000973861906154142,-0.135201697684554,0.402662357648507,0.264868521836952
chr1,9943407,9922113,2,LZIC,158,-1.47461881757483,0.063342091144854,0.0249250397326552,0.00207088047307893,-0.128298203316848,0.430632502308403,0.191640294461702
chr1,13226133,13222695,2,PRAMEF18,225,-4.12581640288771,0,0.0381999678409813,0.00411353305315261,-0.14436842271519,0.464912280701754,0.14436842271519
chr1,20652193,20642657,2,PINK1-AS,326,-1.22439289140254,0.0707455123870283,0.0410905015427604,0.00461797684923703,-0.106280709213461,0.440058479532164,0.177026221600489
chr1,20988432,20988314,2,MIR1256,332,-0.767273994416343,0.316465103924387,0.0393141045095689,0.0043131750388021,-0.228332880430912,0.414742997845491,0.544797984355298
chr1,23015850,23010834,2,TEX46,358,-1.28982460602658,0.171403582390954,0.0411596267440488,0.00462793911870357,-0.260350604654958,0.42590027700831,0.431754187045912
chr1,23019448,23083689,1,KDM1A,359,-0.964155096250871,0.138859621462742,0.0350665467456454,0.00355582799536374,-0.140385889911516,0.417282240689443,0.279245511374258
chr1,30723587,30711277,2,MATN1,497,0.887464781024758,2.03807033736066,0.0317757139809922,0.00305762113777522,0.940394651210473,0.61022622345337,1.09767568615019
chr1,30718504,30726827,1,MATN1-AS1,498,0.952545830910722,2.15197385610409,0.0216020996607894,0.00166782847749874,1.04424558047147,0.614112034472145,1.10772827563263
chr1,34859816,34712737,2,SMIM12,560,-2.01445717021975,0.139078928610003,0.00212063724791158,3.88476953901287e-05,-0.449508791255054,0.383271775931056,0.588587719865057
chr1,34792998,34795747,1,GJA4,564,-1.47395340851041,0.13107006780659,0.0437741177156799,0.00505618203330177,-0.248613978684767,0.44067405355494,0.379684046491358
chr1,38881617,38862964,2,GJA9-MYCBP,621,-2.09794170495529,0.0392105733027255,0.00611235226143618,0.000220506511195603,-0.157429719881321,0.425977223761157,0.196640293184047
chr1,38873368,38864236,2,MYCBP,622,-2.03553986719298,0.0513684826159125,0.0119813878932393,0.000682736134307144,-0.186420915000995,0.434672206832872,0.237789397616908
chr1,42682427,42702349,1,YBX1,676,-0.95379726226934,0.310043951755221,0.00226744124173688,4.43964561483841e-05,-0.298719055761939,0.370960295475531,0.60876300751716
chr1,42817124,42844989,1,ERMAP,682,-0.768559324892552,0.13377194200883,0.0322147902368302,0.00312042427924228,-0.100289271365376,0.424130501692829,0.234061213374206
chr1,44031467,43991500,2,SLC6A9,711,-0.861038819865668,0.237210551499071,0.0330288180450256,0.00322604569540859,-0.200806743068189,0.404509079716836,0.43801729456726
chr1,44721902,44721786,2,RNU5F-1,720,1.76193543946116,1.99092186474071,0.0116734292487327,0.000650457778739384,1.41007939515641,0.606763619575254,0.580842469584297
chr1,46941484,46929177,2,CYP4A11,772,-1.51855054614987,0.0390613895360704,0.010478930555457,0.000530444365071161,-0.0892106041514154,0.413781163434903,0.128271993687486
chr1,47023568,47050751,1,CYP4X1,773,-1.89195763651115,0.0271228181702033,0.0247778187642519,0.00204958774814939,-0.0973244785165864,0.43367189904586,0.12444729668679
chr1,47067488,47118319,1,CYP4Z1,774,-1.92973504797249,0.0216754604404373,0.0355799515326911,0.00364538046018656,-0.08555266791174,0.447868574946137,0.107228128352177
